text,sentiment
first night myers not_the wout lydia im actually excite summer,positive
good morning,positive
best show ever,positive
url previous post timer job id remove space mess url e,negative
think iv hurt tooth eilish cassie draw competiton draw cooky pineapple haha l,neutral
want know audition mander text orreply please,neutral
even nooooo not_the secret namerebecca please,negative
miss neice ca n't wait see bad n grow laugh loud,negative
need get computer fix,neutral
really hop car illness not_terminal,negative
cool people want find follow today english guess english n't tweet,neutral
not_siri woulda put honeybut n't,neutral
watch xmen origins wolverine totally love haha,positive
vote u personal myspace keep talk fake u help thru hrdest time life x,positive
im sad miss guy last night,negative
finally get call marriage counseling day late,neutral
ok,neutral
baby,neutral
today last day high school end go home sick stupid dead rat,negative
impromptu pool party except n't know swim ca n't get,neutral
lose tooth whilst eat gumoww,negative
happy year,positive
oh hella forget say official good morning like hear go goooooooooooood morrrrrrrrning twitterville laugh loud,positive
phew make note case anyone else run issueï¿½,neutral
vote every day,negative
im starve diet kill ca n't eat,negative
talk,neutral
im soo boredim deffo miss music channel,negative
nite nite bday girl fun concert,positive
nicotine replacement patch hour far good sleep hour get bit twitchy,neutral
sanderson whats twatter lately either ca n't get reply n't turn,neutral
sleep lose voice couple day ago,negative
hate parked car get hit,negative
ive heard fall im wait,neutral
nightmare huggles,neutral
creeper feel disappointed cyberstalking skill internet not_more privacy,negative
go bed late headache,negative
happy mother day mom,positive
grab coffee make mom breakfast,neutral
im think im go fun tonightand maybe change come,positive
thanks major chop,neutral
haha know ca n't handle fame thank,positive
get updated ipod,neutral
yes sober hahaha tanghaling tapat dude haha wild n't knowwww plan plan go u,positive
never not_miss icarly son huge crush miranda,positive
saw james carville store today head really bald,neutral
yellow,neutral
mean youre go come back vancouver way hahah,neutral
feel smooth like chrome,positive
ew traffic,negative
download song try sneak lil homework main priority not_song laugh loud,neutral
rara not_alonei need coffee,neutral
sound like,neutral
bad day day realize mess youve put one happiest day life,neutral
walk class hate not_have bikeespecially mine,negative
nesmith,neutral
failed inspection know pass wooven not_woantitip bracket sell woven worse tax,negative
jonas brother live party rock hard love song,positive
happy mother day mother world,positive
google wave demo look lot fun would love test though,positive
sleepy tabz head bed fun night listen next episode jossd,positive
exception short dude larenz fineass tate yum,neutral
screw review think wolverine awesome not_enough dominic monaghan liking,positive
follow u recently please n't offend havent follow back hit limit hopefully free soon,positive
yes work,neutral
hmmm maybe thats mean elude something brand new know medium,neutral
spa meet vic late lunch,neutral
happy monday go tavares today hope everyone bless day,positive
always want go oz,neutral
thx,neutral
cool luv,positive
thats need thereto represent blackberry,positive
okay im dedicate tweet fact im go apple store huge crack glass screen,neutral
could ever actually allow stay,neutral
let know turn,neutral
sas detect long isnt back sas haha,neutral
yeah think ahaha,positive
sport bar shatranjanpoli rest ph sport bar andheri w n't know whether help google ki jai ho,neutral
im not_sleep accepts appology,negative
wolverine boss seriously william,negative
live pain bring,neutral
okay im back later,neutral
powerblog powerblog challenge keep talk im newbie follower,neutral
almost died laptop screen set brightness reinstall window vista get headache insanedefaults,positive
wait tish get get drive mom crv pick duckie first time,neutral
try decide movie friend not_go well laugh loud p not_bible study mean day cake buy,negative
go shower n't want smell school tomorrow,neutral
sigh know,neutral
discover cause bug new netplayer build publishing bug fix hopefully new beta tomorrow,positive
free twitter tool get follower,neutral
get home work chug big bottle apple juice,neutral
yes please n't go die cry normally lead small animal get harm,negative
write report card soooo tire amazing day check fb soon,positive
big brotherand im,neutral
good news finally finish easactive workout pause hour bad news resistance band torn,neutral
well good morning wonderful day neighborhood thanks follow another morning,positive
ftsk mercy mercedes amaze tonight always,positive
hope ok,positive
ca n't school already hurt much see every day,positive
wait listen wind blow tumbleweed none old enough know someone say crackerack,neutral
hell yeah,neutral
shirt dinner need ask actually ville,neutral
know,neutral
huh smelly noooo love alex vixon,neutral
go party last night dindin show match outfit great mind think alike anyway happy birthday ate lara,positive
happy bday wake side earth wish bit late,positive
thank teach value better person day love much youre best mum world,positive
happy mother day,positive
laugh im glad self confidence wonderful trait ill applaud extra loud okay,positive
thanks,positive
twitter day,neutral
get ready week nice today stick inside work,positive
tres depress,negative
felt like behave like son ate compensate pig homeroasted sugar almond painful tum throw still feel sick,negative
happy mother day people love mom lot still,positive
im sorry hear,negative
thats awesome dude yay surprise celebrity get meet year ago soooo friendly,positive
make happy hear girl talk tweet nba could give nugget love,positive
get hang twitter,neutral
know neck jack force pay park bc ca n't turn head parallel park free space,negative
want back,neutral
go miss roomie not_longer roomy start tomorrow,negative
bath two little angel keyla janice,neutral
yep finish chock full spell grammatical error im clean tomorrow pop hehe,negative
hahahha laugh loud true always remember bd never not_remember date even day,neutral
family herehanging,neutral
watch ellen love dish tan gorgeous,positive
whats goin hun im worry,negative
im not_bannished work till,negative
morning get see ill let know right im go go see wolverine,neutral
red top tabloid build em knock em,neutral
tonight party w girl minus vita,positive
not_now make sad think youd jump joy,neutral
simple,neutral
pic upload baby pic cat missy adult pretty little kitty batty kitten heaven,neutral
saw play amaze,positive
glad break twitter virginity two,positive
dinner fam miss,negative
live thats want better bound bad egg though soon learn,neutral
hell yeah kellynn get twitter finally,neutral
know worth shot though,positive
open facebook account im little confused n't really get twitter seem much better,positive
ship im stuck,negative
dustbin baby not_wait x,positive
not_go dwell happen pass shame supportive life x,negative
look like office tv get mlb network look like mlbn not_be televise detbal game today wieters,neutral
home empty hand not_comic find today shall indulge cupcake magnolia bakery,neutral
lay bed til workkk oh life definitely pinch nerve,negative
today busy day exhaust,negative
go go sunday ive get much go weekend,neutral
sorry hear ur flight get cancel blow,negative
ohh tooth hurt ohh im sad hurt,negative
get distracted id like thank new follower take trouble follow others feelin love,positive
u think u bill haii finish pay mine thats im broke,negative
not_sure didnt say big jst saw pic u ur last bday look pretty miss,neutral
sore throat plan tet marwell thoughgood time,neutral
mcfly gig last nightt omg amazin didnt sit whole thing mcfly see best mate tutu,positive
day without sleep migraine think life mean relax,negative
,neutral
suck,negative
whens sway sway winner announce,neutral
k check,neutral
pretty well wide awake,positive
want wake early get coffee tomorrow today go busyy day keep write booo whoo,neutral
miss daddy mommy,negative
dog officially depressed brother dog go doesnt want go outside play halfheartedly,negative
realize ca n't forward text msg iphone,neutral
frist post find new car parent excite,positive
argh noo miss killer wossy suck miss brandon total failure anyone know repeat must investigate,negative
seriously bore without anyone talk not_tired enough sleep,negative
lose please help find good home,negative
peter gordon morning go piece wan na hide go piece almost die ever,neutral
ok ive get bit bad back lift drum hardware car downer,negative
lmao smh one throw,neutral
oh nice go,positive
get ready work work weekend,neutral
gon na celebrate mother day family gon na start partying tonite,positive
agree,positive
computer hopeless everything else,negative
degree gross sky thunderstormsperfect match mood laugh loud,positive
aww thanks,positive
sorry rb,negative
saw amazing heeels big,neutral
stick finger throat bunch bump tongue throat,negative
dang last url go,negative
ohoh miss ur tweet im gon na stay awake night see announcement time difference,negative
damnit suck one one think id drag back laugh loud,negative
bos shes move nyc,neutral
sooo crazy fever,negative
spend saturday morning take note research essay stupid recall book im use not_fair,negative
think need new friend,neutral
look forward gig ireland see ya,neutral
please review sunehre ad placement,positive
aww loooove,positive
hungry twitter want food,neutral
awesome lucky,positive
yea know tell everything p send direct message tell haha,neutral
haha im jewish love one,positive
great time beer garden wit boyos think sun get bit though feel bit ill,neutral
lm day matt not_fun weekend,negative
u really n't think maybe ur rightlaugh loud btw phone u use think u tell might app u,neutral
feel pain mine way,negative
come home two day,neutral
sadly not_it didnt come one,negative
ca n't wait see boy tomorrow,positive
ehhh not_just check dentist app next week though get molar pulledroot canal,neutral
aww miss drive elmwood,negative
omg wango tango awsome love baby take,positive
version live interactive transsiberian ticket planner launch cool,positive
really wish could go,positive
yeah real hard know youll get smile,neutral
im december thats not_good next big birthday fly sure,negative
make night way funny,positive
woo cavs happy mother day,positive
make face get home mom watch soap,neutral
go work,neutral
ca n't believe go get boba without,neutral
today,neutral
thanks warm welcome didnt make plan arrival time air,positive
day count,neutral
sorry friend im swamp deadline right family visit boot not_charade,negative
brainfreeze,neutral
discover shortcoming gravity use twitpic integrate doesnt subtract pic url character limit,neutral
sunburn peel,negative
perky purple nail polish isnt perky chipped,neutral
put camera smoker pit not_longer vandalize door without catch,neutral
lay alone since mooks soo comfy fn play pen think ill first n't not_one cuddle,negative
hate dentist,negative
nothing aim join insorry,negative
im take twitter break cell die,negative
qood morninq,neutral
write english original writing storyyyyy listen little respect erasure aaaaaah,neutral
need follower,neutral
wish could get nail stupid job,negative
little wormy labyrinth sadly pass away today ok still around happy ghost form aww,neutral
not_pant idea could new attempt worldwide attract business back airline,neutral
good one,positive
yep infact popular miss india talented film actress lot,positive
dosent want go work tomorrow,negative
daniel win dsds voice great,positive
wish birthday massacre would come australia think say theyre think tho,neutral
hop go red lobster weekend,neutral
xatl u mean jack barakats wow u ever go house hehe mean ur ssoo lucky address,positive
sure hope become afternoon,positive
mean famous congrats,positive
phone pass away yesterday jump table search new phone,negative
fantastic friend include several one meet thanks life amazing people,positive
tamlyn wish cool sock draw,positive
not_rice crusty bread chili aawww,neutral
like mind even dear,neutral
come save packing please,neutral
yes love tea make typically english,positive
mouth sure,positive
finally hour history pm go highschool make homework friend,neutral
pancake lemon sugar thanks,positive
si not_bueno guess n't entertain,negative
im hunrgy right heel kill hardly walk,negative
electronic key stop work not_keyhole ca n't get car much technology,negative
yay three follower good know one person big wide world like fishies,positive
name tony not_hey poor tony,negative
goodmorning,positive
take shift tomorrow n't really feel like work right,negative
love mine happy motherï¿½s day mom john taylor much love,positive
saw black snake garden go back picture go,neutral
buy ludi rug dog best,positive
not_waterfront anymore faccia luna clarendon,negative
love mum much happy mother day wonderful mother,positive
slip catch flu feeling like poop,negative
urge play wow wait week til im dad til mcfly im excited l,positive
ok passenger not_one alive theyre dead n't know til end cry,negative
discover share g reader didnt even know sigh im g reader newb,neutral
chill tonite not_spew venom write funny seem like style,neutral
u please pray lord know need,neutral
aaaaaw want live usa,neutral
morning tweeple,positive
hey didnt get,neutral
hour sleep rest need,positive
make day much better rough one mention love new photo,neutral
n't want sit home prom night someone hang,negative
head home foot surgery wish boyfriend come cuddle,positive
concert tonight chackin not_come tomorrow,neutral
happen thought come back today,neutral
laugh loud dammit well next time,negative
laugh loud n't ever forget,positive
still jealous,negative
forever ethan couldnt,negative
im sad im not_give firsti didnt nothing,negative
week mine not_easy finally,negative
wow beautiful picture wayi straightjust want let know bella,positive
arch draw check mvccs cad degree look good,positive
people pencil sharp not_and sharpen pencil philosophy,neutral
go home im usually mr positive one daze well min tomorrow,neutral
always lee let go paris,neutral
know want come keep company whilst mum friend night nice evening,positive
cook dad lot fun kitchen together,positive
bounce rush make feel nauseous,negative
woolsery morning hopefully see north molton clinch north devon league title lovely day,positive
play singstar without fave duetter,negative
youre miss bb im cereal nut think like every kind available,positive
thats weird oh draw,negative
wake mum sing new gnr cd replacement buy im good daughter,positive
bird oh man thats not_cool didnt sleep yet night,negative
mile go thats ok radio alwas help,positive
street fighter iv skill lack ca n't beat seth easy,negative
fil cool people like,positive
good morning work espns sunday night baseball hopefully wont get rain,positive
think honeymoon good life either honey moon joseph arthur,neutral
son get sting bug first time little finger slightly swollen,negative
hour ago come realise go buy something online,neutral
oh refer lil exchange lj regard twitter archive posting,neutral
bump dj opus drunk car lmao n't act like u n't know,negative
kiss foot people kick anything want morning everyone hope best day ever,positive
heres brief preview omg james creepy role im scar,negative
im miss crab leg attend go away instead,negative
hick mean,negative
gettn ready take trip jersey dad not_do good need new heartwhoeva see please say prayer dad,negative
back soon need run shop cut grass,neutral
im plan transform bedroom today random,neutral
home tomorrow running spin time chiropractor laundry shopping visit family miss nathan,negative
thats another sponsor,neutral
u go stick office without window,negative
not_it not_sad make proud,negative
sorry well try keep,negative
home alone hw,neutral
accord quarter family six live poverty,negative
plan not_spend money not_go well,negative
upload bamboozle picture facebook,neutral
congratulation guy finish month early booo,positive
actually wish back tahoe miss,negative
woke upi wan na stay bed,neutral
bday june wack ihavent see promotion bday party someone better finagle asap,negative
would great vip act id enjoy see noooo,neutral
marie wish could make hate commute sometimes,neutral
workin long day today hopefully make good tip,positive
go quick wasnt chance laugh loud,negative
hate headache maybe im not_ready rock,negative
thanks support,positive
really not_android twitter app tweeties calibre,neutral
good day drive mountain visit katie eating chip fudge stock lovely smell soap,positive
nyappy mother day mom,positive
yeah im gon na take ur picture ipod baby,neutral
traumatize moment childhood dog massacre baby bunny brother get bb gun,negative
laugh loud herewish way microsize everythinglaugh loud,neutral
organization itil forget people fail preach convert people,negative
libertine um glad enjoy,positive
dinner evening play card already pack ready head home tomorrow go home,neutral
im allergic cat tonsil get swell hurt dooo,negative
say feel mama tuck night lonely get tomorrow tough,negative
miss alot one day,negative
sound like great night im glad successful,positive
thanks share,positive
say mlia instead fml hope find soon,positive
garden go well almost corn pea not_onion beets yet though,positive
nah kiddingin hot bored,neutral
ahhh im sqeaky clean fresh even though im wear dirty clothes love two half men amazing,positive
yes read many time,neutral
cuz play grow twitter,neutral
live ignorance,negative
nope tell want cameo cream,neutral
awwww gon na miss,negative
quite like worthing relaxing place nice coffee shop fresh air not_too many oiks,positive
terrible haha new fact couldnt cost part kind spock,neutral
today lovely day fun evening,positive
betos pizzeria banksville rd believe beachview area sorry answer like year later,negative
sigh sister bein strange come way copenhagen london phone turn wan na see dammit,negative
amaze,positive
barb try figure dsl aint connect need google go home computer n't start work soon smh,neutral
im sick sad miss martini lounge tonight,negative
seem really quiet tonightam jealous clearly exciting life bed think,neutral
really wish spare cash buy new punch wii,negative
aw not_go toronto anymore,negative
sorry hear mom really suck,negative
feel hope smooth flight safe mucho amor boston,positive
ca n't sleepso im watch hgtv im afraid infomercial take,negative
im get family ready kaylees graduation gon na make sad,negative
sweet dream,positive
hay wats ur aim chat,neutral
okay kool might tour summer long make happen,neutral
pain big toe get stomp hokey cokeu throb anyone suggestion heal,negative
time watch op dead like sleep,neutral
dinner grandma since couldnt mum,neutral
haha thanks history invention television influence america laugh loud,positive
yea wassup,neutral
stupid job idk,negative
shop til droppedcome bac sunshine miss u,negative
like pic lucky girl,positive
thank ive anxiety issue year think make first couple day fine,neutral
around hour leave day weekend waaaay much work,neutral
feel love mom get nikon cool pix birthday,positive
attempt somehow extend inner class would close closure ca n't find ref atm,neutral
yes join u require cupcake donation,neutral
hard time talk new people pretty sure didnt make good impression,negative
haha yup still terrible headache super swollen puffy eye n't think im go todayugh,negative
ca n't access site,neutral
sun shinningat last,positive
slowest train ever stop everywhere miss quick train minute,negative
nup not_cd either whole bunch zero one free,neutral
graduation day feel like failure,neutral
ops laugh loud wasnt suppose get twitter,neutral
n't think ive ever tierd lifeughgoodnightso sleeping tomorrow,negative
u go today girl,neutral
doesnt want anymore,negative
bad hair day,negative
headache,negative
sorry guy didnt sign sorry,negative
okayokay like rest sane population world hate monday,neutral
mozart requiem,neutral
think bit love creation wit not_that physically attract although great style,neutral
amichael hey thanks another great day im go sleep ill chat tomorrow sweet dream,positive
bet cool sr huh not_here havent stop sweat since noon dad pack,negative
ohshnapsss piss blair usual hahah yeeeah bake cooky,neutral
not_bueno hollykins need feel better asap p miss uni soon arent soproudofyou,neutral
cool mother awesome hair style wish happy mother day,positive
happy mother day mother,positive
expression watch,neutral
stupid bipolar weather ruin day,negative
didnt want tell think body odour,negative
nice beta easports still not_news online madden,neutral
thats pretty bad quality probably worst pic u post till date,negative
miss call,negative
unfortunately u look like not_funny people twitter move fb start ownflitter,negative
come back karaoke eat dinner emily sooooo much fun,positive
discrimination not_a bad thing ive learn say not_my child would say master year ago,positive
sure talkthe fabulous part though sorry dear,neutral
see sec clip new moon trailer etonlinecom check big tease though,negative
get back work im feeling pretty good work,positive
ahhh satz blend didnt save,neutral
matter bet would great love right not_go,positive
dh finish make giant trio candy bar thank heaven work mate treat tomorrow,positive
ear pop,neutral
work diffuse irritation traffic sure isnt help mother f always real bad day th help plan stuff,negative
submit resume day saw not_answer back oh well,negative
catch week lose grey house quiet,neutral
love ryans housewife make smile,positive
soooim kinda sick n tire b guy dish,negative
boo hop fake alien story tinfoil cover beachball photo,negative
hey phillll wazzuppppp,neutral
miss westcott micro apollo,negative
great buy lunch get pay cut next month,positive
finally go beach yeaaaah,positive
ranjan ever mention nice awesome dude,positive
last weekday nothing school start next week,neutral
hello gorgeous girl nice new pic today,positive
ok duet hysterical laugh loud,positive
ok turn twitter device update get new battery phone go fully charge dead hour,neutral
michelle hot mama chichi grande,neutral
either way always tend make followfriday list sweetie rock much,positive
not_one know like boil peanut,neutral
watched episode love throwback first episode use sprinkler theory,positive
im sleepy feel weather ugh tonsil need company somebody talk,negative
please get cell phone better camera picture real bad quality compare miley take,neutral
ichigo try carry aswell bless suppose maybe thats kid shouldnt,positive
booziest weekend long time good fun though,positive
count hour lose sunshine weekend,negative
planning try call doctor though isnt go well mostly plan,negative
hoooray im hook already,neutral
ok good day,positive
agree everybody wouldve excite go ohhhh nooooo screw,neutral
edge leave contributor list month issue x ffs werd,neutral
ooo growl yummy time come soon huh oh yeah hunt combo tshirt think find one,neutral
im back zindex problemagain,negative
anyone bored work,negative
hat life moment theres many not_my delicate little mind take,negative
check start new tee limited edition different way check facebook group,neutral
husband girl,neutral
thinking vega good idea place see,neutral
first day summer suck overcast cold isnt summer,negative
hi one kiwi artist another kiwi artist,neutral
say happy mother day mom,positive
oooo ok havent accept friend request,neutral
sorry tweet bgt poor wonderful crazy weird greg not_fair silly little girl never not_go cope urgh not_fair,negative
,neutral
michele thanks thatam follow themlove good cause,positive
not_available area would,negative
friday hour im freeuntil tomorrow oh well,neutral
meeting time iï¿½m try win something prize friday,neutral
wait cramp,negative
philosophy final today thank day,positive
plan didnt go followed ok,neutral
let guess skipped sport buy new pinkish outfit,neutral
rain please come,neutral
pleasure,neutral
presentation senior board fml,negative
laugh loud know funny ahaha,positive
wide awake grouchy,negative
think thing couldnt get worse get even worse tonight bet life misery,negative
n't app,neutral
laugh loud hi emmy latin would help study aptitude test get grad school thats wan na take,positive
supper tonight kurumi minute,neutral
kap think cute every night okay,positive
happyskool let today last day yippee rip jackson tyler morris always love never not_forget,positive
hi mariah,neutral
im not_at home cat right,neutral
wheres music mannnn inbox still empty,negative
atm oh yeah apple juice im rebel,negative
im sorry still sick u know know u guess pelzer present,negative
nice one,positive
exam today go get license renew birthday get closer,neutral
get ta get creative mother day gift im gon na win love,positive
think gon na rain,neutral
aah well friend wonder alls great weather good,positive
yrbook sign w evryone fun im gna miss evrything,neutral
lose artistic ability,negative
not_close enough could run get one,neutral
stone cold crazy,negative
totally austin power withdrawl symptons darrius withdrawl symptom mommy minne withdrawl syamptoms,neutral
xo pretty take like hour ursssss,positive
senior last day,neutral
crisis forget fringe comb im menno one help,negative
already get ticket thanks make sure though,positive
thanks new follower,positive
get closer rather real lobby date chicago squee,neutral
lose vocie adele laugh laugh loud still wonder im college week,neutral
killboy oh sorry not_get reply nothing yes know nirvana,negative
busy work new kit couple interview doneyea weekend pray uncle still young massive stroke,positive
didnt get bite rabies infest person last night yay gon na scare rachel quarantine tonight shall fun,neutral
nooo not_roo cry omg want slap sing fine nowhere boohooooooooooo,negative
watch simpson,neutral
good morning court crossfit bible study someone special house,positive
great time london,positive
work soon way soon,neutral
phaket anneliese want,neutral
emergency room cousin shes get mad flu ca n't walk breathe hospital always cold,negative
thanks greeting,positive
im hungry wife bodyshop party bring takeaway home much longer party go,neutral
pretty baby,positive
invite house instead,neutral
im bit bens thaied,neutral
stackeoverflow,neutral
jungle book sooooo cute nothing eat drink,positive
dead stop express lane would happen choose take not_way ugh hopefully get move,neutral
okeefe yay youre twitter youre secret celeb crush much info,neutral
ah ok thank youuuuuu,positive
twitter fail life sometimes oh well,negative
not_phone call yet minute pluck courage wish phone would ring,positive
point gear question post ca n't get rest dreadweave set,neutral
remind much omaha girl use date guess jean calvin klein wear,neutral
sherrieshepherd give link give twitter tip hope help,positive
love mini,positive
yeah im okay ice ace bandage sit twitter laugh loud thanks,positive
youre gorgeous,positive
guess relaxing dinner movie tonighti look forward day work,positive
laptop grow speaker watch charlie sound,neutral
rofl uh huh,positive
funny,positive
well doesnt look fab even say,negative
deadline,neutral
terrible headache need relief,negative
two month ago become irrelevant,negative
finally sunny day im sick go outside play,negative
good luck exciting,positive
work vacation thailand get excited every day,positive
wont home till like next month,neutral
finally chance show genuine love not_dependent selfish love hope heart go im sorry ur pain,positive
im game bad leave hi,negative
screw sat u,negative
get im another coworker get lay lot people become unemployed,negative
exact one think bestttt,positive
easties go anytime,neutral
googledocs folder instead label like gmail kind like label,positive
lem guess ran mile gym wake kid go beach record studio,neutral
never not_know dentention hard get,negative
pacquiao fight fun home wif fam melissa sit today mission ikea srsly different freeway ge burbank,positive
nail broke haaaaaaaaate,negative
dang disappoint,negative
yep,neutral
much longer nkotb block party love need go bed wonder time overlaugh loudthanks,positive
thanks mom seed larger already crack plant hope avalina isnt dud,negative
anyone want buy anthropomorphic planter available till,neutral
beautiful day outside today shame im stick office blind shut stop glare,neutral
wake sun start rain,neutral
creative vados stock walmartcom miss thanks tweet,neutral
hate weather,negative
cultural tour loiusas family kangaroo sightseeing cemetary lovely,positive
flapataco nice pleb come,negative
oh yippee lynz way get celebrate mother day first time mother,positive
chillaxin busy bankholiday hope everbody gd wkend holiday day,positive
havin much better day today finish last twilight book yesterday class start next week get yall,positive
new motorcycle pop cable already wowyou ride hard,positive
check flyer design notary retrograde let know think,neutral
thanks welcome back,positive
want experience snow n't snow suck,negative
sore head,negative
